Filename	Year_Month	Brightness_Median	Saturation_Median	Label_Place	Year	Month	Title
001.jpg	1881.834	96	91	1_Early	1881	11	Still Life with Cabbage and Clogs
002.jpg	1881.834	23	170	1_Early	1881	11	Still Life with Earthenware Bottle and Clogs
003.jpg	1881.834	61	174	1_Early	1881	11	Still Life with Yellow Straw Hat
004.jpg	1882.5838	240	51	1_Early	1882	8	Beach at Scheveningen in Calm Weather
005.jpg	1882.5838	84	57	1_Early	1882	8	Cluster of Old Houses with the New Church in The Hague
006.jpg	1882.5838	171	157	1_Early	1882	8	Dunes
007.jpg	1882.5838	86	65	1_Early	1882	8	Edge of a Wood
008.jpg	1882.5838	124	130	1_Early	1882	8	Fisherman on the Beach
009.jpg	1882.5838	54	117	1_Early	1882	8	Fisherman's Wife on the Beach
010.jpg	1882.5838	153	185	1_Early	1882	8	Girl in the Street Two Coaches in the Background A
011.jpg	1882.5838	101	141	1_Early	1882	8	Girl in White in the Woods
012.jpg	1882.5838	116	162	1_Early	1882	8	Man Stooping with Stick or Spade
013.jpg	1882.5838	114	111	1_Early	1882	8	Two Women in the Woods
014.jpg	1882.5838	175	87	1_Early	1882	8	View of the Sea at Scheveningen
015.jpg	1882.5838	81	52	1_Early	1882	8	Women Mending Nets in the Dunes
016.jpg	1883.2502	168	81	1_Early	1883	4	Bulb Fields
017.jpg	1883.5838	105	117	1_Early	1883	8	Farmhouses in Loosduinen near The Hague at Twilight
018.jpg	1883.5838	143	65	1_Early	1883	8	Landscape with Dunes
019.jpg	1883.5838	104	85	1_Early	1883	8	Lying Cow
020.jpg	1883.5838	113	131	1_Early	1883	8	Marshy Landscape
021.jpg	1883.5838	179	188	1_Early	1883	8	Wind-Beaten Tree A
022.jpg	1883.6672	198	39	1_Early	1883	9	Cottages
023.jpg	1883.6672	106	100	1_Early	1883	9	Farmhouses Among Trees
024.jpg	1883.7506	73	98	1_Early	1883	10	Peasant Burning Weeds
025.jpg	1883.7506	74	53	1_Early	1883	10	Peat Boat with Two Figures
026.jpg	1883.7506	123	75	1_Early	1883	10	Two Women in the Moor
027.jpg	1883.834	93	83	1_Early	1883	11	Farm with Stacks of Peat
028.jpg	1884	65	74	1_Early	1884	1	Weaver Facing Right (Half-Figure)
029.jpg	1884.0834	151	36	1_Early	1884	2	Old Tower at Nuenen with a Ploughman The
030.jpg	1884.0834	109	108	1_Early	1884	2	Weaver Facing Right
031.jpg	1884.1668	132	104	1_Early	1884	3	Weaver Facing Left with Spinning Wheel
032.jpg	1884.2502	153	33	1_Early	1884	4	Landscape with Pollard Willows
033.jpg	1884.3336	206	23	1_Early	1884	5	Old Church Tower at Nuenen The
034.jpg	1884.3336	92	81	1_Early	1884	5	Parsonage Garden at Nuenen The
035.jpg	1884.3336	133	103	1_Early	1884	5	Water Mill at Kollen Near Nuenen
036.jpg	1884.3336	48	95	1_Early	1884	5	Weaver Arranging Threads
037.jpg	1884.3336	68	51	1_Early	1884	5	Weaver Standing in Front of a Loom
038.jpg	1884.3336	132	102	1_Early	1884	5	Weaver Seen from the Front
039.jpg	1884.5004	58	80	1_Early	1884	7	Cart with Red and White Ox
040.jpg	1884.5004	166	169	1_Early	1884	7	Old Tower in the Fields The
041.jpg	1884.5004	65	85	1_Early	1884	7	Village at Sunset
042.jpg	1884.5004	62	111	1_Early	1884	7	Weaver Near an Open Window
043.jpg	1884.5004	80	75	1_Early	1884	7	Weaver Interior with Three Small Windows
044.jpg	1884.5004	85	123	1_Early	1884	7	Weaver Seen from the Front
045.jpg	1884.5838	134	93	1_Early	1884	8	Farmers Planting Potatoes
046.jpg	1884.6672	160	87	1_Early	1884	9	Potato Planting
047.jpg	1884.6672	43	53	1_Early	1884	9	Shepherd with a Flock of Sheep
048.jpg	1884.6672	184	65	1_Early	1884	9	Wood Gatherers in the Snow
049.jpg	1884.7506	107	111	1_Early	1884	10	Avenue of Poplars at Sunset
050.jpg	1884.7506	119	93	1_Early	1884	10	Avenue of Poplars in Autumn
051.jpg	1884.834	28	75	1_Early	1884	11	Head of a Man
052.jpg	1884.834	56	67	1_Early	1884	11	Head of a Woman
053.jpg	1884.834	95	101	1_Early	1884	11	Head of a Woman
054.jpg	1884.834	82	78	1_Early	1884	11	Still Life with Bottles and Earthenware
