Filename	Year_Month	Brightness_Median	Saturation_Median	Label_Place	Year	Month	Title
396.jpg	1888.1668	163	88	3_Arles	1888	3	Avenue of Plane Trees near Arles Station
397.jpg	1888.1668	176	78	3_Arles	1888	3	Blossoming Almond Branch in a Glass
398.jpg	1888.1668	193	73	3_Arles	1888	3	Blossoming Almond Branch in a Glass with a Book
399.jpg	1888.1668	148	82	3_Arles	1888	3	Gleize Bridge over the Vigueirat Canal The
400.jpg	1888.1668	224	76	3_Arles	1888	3	Langlois Bridge at Arles with Road Alongside the Canal The
401.jpg	1888.1668	169	66	3_Arles	1888	3	Langlois Bridge at Arles with Women Washing The
402.jpg	1888.1668	155	115	3_Arles	1888	3	Orchard in Blossom
403.jpg	1888.1668	144	77	3_Arles	1888	3	Orchard with Blossoming Apricot Trees
404.jpg	1888.1668	162	106	3_Arles	1888	3	Pair of Leather Clogs A
405.jpg	1888.1668	196	48	3_Arles	1888	3	Pink Peach Tree in Blossom (Reminiscence of Mauve)
406.jpg	1888.1668	191	93	3_Arles	1888	3	Still Life with Basket and Six Oranges
407.jpg	1888.1668	201	93	3_Arles	1888	3	Still Life: Potatoes in a Yellow Dish
408.jpg	1888.1668	133	150	3_Arles	1888	3	Two Lovers (Fragment)
409.jpg	1888.2502	130	98	3_Arles	1888	4	Almond Tree in Blossom
410.jpg	1888.2502	144	70	3_Arles	1888	4	Apricot Trees in Blossom
411.jpg	1888.2502	173	84	3_Arles	1888	4	Blossoming Pear Tree
412.jpg	1888.2502	185	126	3_Arles	1888	4	Langlois Bridge at Arles The
413.jpg	1888.2502	155	112	3_Arles	1888	4	Orchard in Blossom
414.jpg	1888.2502	188	89	3_Arles	1888	4	Orchard in Blossom
415.jpg	1888.2502	165	56	3_Arles	1888	4	Orchard in Blossom (Plum Trees)
416.jpg	1888.2502	177	85	3_Arles	1888	4	Orchard in Blossom Bordered by Cypresses
417.jpg	1888.2502	199	69	3_Arles	1888	4	Orchard in Blossom Bordered by Cypresses
418.jpg	1888.2502	185	47	3_Arles	1888	4	Orchard with Peach Trees in Blossom
419.jpg	1888.2502	164	94	3_Arles	1888	4	Path Through a Field with Willows
420.jpg	1888.2502	198	62	3_Arles	1888	4	Peach Tree in Blossom
421.jpg	1888.2502	185	110	3_Arles	1888	4	White Orchard The
422.jpg	1888.3336	163	103	3_Arles	1888	5	Farmhouse in a Wheat Field
423.jpg	1888.3336	136	93	3_Arles	1888	5	Farmhouses in a Wheat Field Near Arles
424.jpg	1888.3336	149	102	3_Arles	1888	5	Landscape Under a Stormy Sky
425.jpg	1888.3336	205	146	3_Arles	1888	5	Lane near Arles A
426.jpg	1888.3336	228	76	3_Arles	1888	5	Langlois Bridge at Arles The
427.jpg	1888.3336	172	141	3_Arles	1888	5	Still Life: Blue Enamel Coffeepot Earthenware and Fruit
428.jpg	1888.3336	213	116	3_Arles	1888	5	Still Life: Bottle Lemons and Oranges
