Filename	Year_Month	Brightness_Median	Saturation_Median	Label_Place	Year	Month	Title
197.jpg	1886.2502	99	178	2_Paris	1886	4	Plaster Statuette of a Female Torso
198.jpg	1886.2502	130	136	2_Paris	1886	4	Plaster Statuette of a Female Torso
199.jpg	1886.2502	120	103	2_Paris	1886	4	Plaster Statuette of a Female Torso
200.jpg	1886.2502	167	34	2_Paris	1886	4	Plaster Statuette of a Female Torso
201.jpg	1886.2502	182	62	2_Paris	1886	4	Plaster Statuette of a Female Torso
202.jpg	1886.2502	100	90	2_Paris	1886	4	Plaster Statuette of a Female Torso
203.jpg	1886.2502	120	76	2_Paris	1886	4	Plaster Statuette of a Female Torso
204.jpg	1886.2502	71	64	2_Paris	1886	4	Plaster Statuette of a Horse
205.jpg	1886.2502	49	81	2_Paris	1886	4	Plaster Statuette of a Kneeling Man
206.jpg	1886.2502	140	74	2_Paris	1886	4	Plaster Statuette of a Male Torso
207.jpg	1886.2502	70	91	2_Paris	1886	4	Self-Portrait with Dark Felt Hat
208.jpg	1886.2502	91	80	2_Paris	1886	4	Self-Portrait with Dark Felt Hat at the Easel
209.jpg	1886.2502	80	43	2_Paris	1886	4	Self-Portrait with Pipe
210.jpg	1886.2502	18	119	2_Paris	1886	4	Self-Portrait with Pipe
211.jpg	1886.2502	126	102	2_Paris	1886	4	Sloping Path in Montmartre
212.jpg	1886.2502	82	188	2_Paris	1886	4	Still Life with Scabiosa and Ranunculus
213.jpg	1886.2502	143	89	2_Paris	1886	4	Tambourine with Pansies
214.jpg	1886.2502	99	67	2_Paris	1886	4	View of Roofs and Backs of Houses
215.jpg	1886.417	71	32	2_Paris	1886	6	Bowl with Daffodils
216.jpg	1886.417	64	92	2_Paris	1886	6	Flowers in a Blue Vase
217.jpg	1886.417	165	143	2_Paris	1886	6	Lane at the Jardin du Luxembourg
218.jpg	1886.417	135	56	2_Paris	1886	6	Le Blute-Fin Mill
219.jpg	1886.417	225	88	2_Paris	1886	6	Pont du Carrousel and the Louvre The
220.jpg	1886.417	60	70	2_Paris	1886	6	Vase with Flowers
221.jpg	1886.417	37	86	2_Paris	1886	6	Vase with Myosotis and Peonies
222.jpg	1886.5004	152	105	2_Paris	1886	7	Bois de Boulogne with People Walking The
223.jpg	1886.5004	77	116	2_Paris	1886	7	Cineraria in a Flowerpot
224.jpg	1886.5004	62	137	2_Paris	1886	7	Coleus Plant in a Flowerpot
225.jpg	1886.5004	114	123	2_Paris	1886	7	Fourteenth of July Celebration in Paris The
226.jpg	1886.5004	113	121	2_Paris	1886	7	Geranium in a Flowerpot
227.jpg	1886.5004	56	65	2_Paris	1886	7	Ginger Jar Filled with Chrysanthemums
228.jpg	1886.5004	17	121	2_Paris	1886	7	Glass with Roses
229.jpg	1886.5004	200	40	2_Paris	1886	7	Le Moulin de Blute-Fin
230.jpg	1886.5004	202	38	2_Paris	1886	7	Le Moulin de la Galette
231.jpg	1886.5004	46	81	2_Paris	1886	7	Still Life with Bloaters
232.jpg	1886.5004	49	81	2_Paris	1886	7	Still Life with Bloaters
233.jpg	1886.5004	60	66	2_Paris	1886	7	Vase with Asters Salvia and Other Flowers
234.jpg	1886.5004	85	107	2_Paris	1886	7	Vase with Carnations
235.jpg	1886.5004	60	85	2_Paris	1886	7	Vase with Carnations
236.jpg	1886.5004	80	107	2_Paris	1886	7	Vase with Carnations
237.jpg	1886.5004	156	89	2_Paris	1886	7	Vase with Carnations and Other Flowers
238.jpg	1886.5004	40	91	2_Paris	1886	7	Vase with Carnations and Zinnias
239.jpg	1886.5004	92	211	2_Paris	1886	7	Vase with Daisies
240.jpg	1886.5004	82	122	2_Paris	1886	7	Vase with Gladioli and Carnations
241.jpg	1886.5004	113	246	2_Paris	1886	7	Vase with Gladioli and Carnations
242.jpg	1886.5004	65	71	2_Paris	1886	7	Vase with Gladioli and Lilac
243.jpg	1886.5004	66	82	2_Paris	1886	7	Vase with Peonies
244.jpg	1886.5004	107	241	2_Paris	1886	7	Vase with Red Gladioli
245.jpg	1886.5004	146	128	2_Paris	1886	7	Vase with Red Gladioli
246.jpg	1886.5004	42	29	2_Paris	1886	7	Vase with Red Gladioli
247.jpg	1886.5004	101	97	2_Paris	1886	7	Vase with Red Poppies
248.jpg	1886.5004	79	128	2_Paris	1886	7	Vase with Viscaria
249.jpg	1886.5004	77	143	2_Paris	1886	7	Vase with White and Red Carnations
250.jpg	1886.5004	110	123	2_Paris	1886	7	Vase with Zinnias
251.jpg	1886.5004	70	88	2_Paris	1886	7	Vase with Zinnias and Geraniums
252.jpg	1886.5004	118	74	2_Paris	1886	7	Vase with Zinnias and Other Flowers
253.jpg	1886.5838	87	95	2_Paris	1886	8	Bowl with Sunflowers Roses and Other Flowers
254.jpg	1886.5838	124	86	2_Paris	1886	8	Vase with Asters and Phlox
255.jpg	1886.5838	145	68	2_Paris	1886	8	Vase with Gladioli
256.jpg	1886.5838	136	76	2_Paris	1886	8	Vase with Hollyhocks
257.jpg	1886.5838	206	53	2_Paris	1886	8	View of Paris from Montmartre
258.jpg	1886.5838	197	53	2_Paris	1886	8	View of the Roofs of Paris
259.jpg	1886.6672	172	112	2_Paris	1886	9	Kingfisher The
260.jpg	1886.6672	58	75	2_Paris	1886	9	Pair of Shoes A
261.jpg	1886.6672	110	139	2_Paris	1886	9	Terrace of a Cafe on Montmartre (La Guinguette)
262.jpg	1886.7506	141	71	2_Paris	1886	10	Bois de Boulogne with People Walking The
263.jpg	1886.7506	79	115	2_Paris	1886	10	Bowl with Peonies and Roses
264.jpg	1886.7506	68	78	2_Paris	1886	10	Green Parrot The
265.jpg	1886.7506	170	112	2_Paris	1886	10	Hill of Montmartre with Quarry The
266.jpg	1886.7506	216	103	2_Paris	1886	10	Le Moulin de la Galette
267.jpg	1886.7506	156	48	2_Paris	1886	10	Le Moulin de la Galette
268.jpg	1886.7506	210	54	2_Paris	1886	10	Le Moulin de la Galette
269.jpg	1886.7506	225	31	2_Paris	1886	10	Le Moulin de la Galette
270.jpg	1886.7506	185	78	2_Paris	1886	10	Le Moulin de la Galette
271.jpg	1886.7506	128	87	2_Paris	1886	10	Montmartre: Quarry the Mills
272.jpg	1886.7506	183	61	2_Paris	1886	10	Outskirts of Paris
273.jpg	1886.7506	77	62	2_Paris	1886	10	Self-Portrait
274.jpg	1886.7506	39	170	2_Paris	1886	10	Still Life with Mussels and Shrimps
275.jpg	1886.7506	130	86	2_Paris	1886	10	View of Montmartre with Windmills
276.jpg	1886.7506	154	70	2_Paris	1886	10	Windmill on Montmartre
277.jpg	1886.9174	110	120	2_Paris	1886	12	Three Pairs of Shoes
278.jpg	1887	153	84	2_Paris	1887	1	Plaster Statuette of a Female Torso
279.jpg	1887	107	93	2_Paris	1887	1	Portrait of PËre Tanguy
280.jpg	1887	116	116	2_Paris	1887	1	Self-Portrait
281.jpg	1887	102	103	2_Paris	1887	1	Self-Portrait with Grey Felt Hat
282.jpg	1887	123	96	2_Paris	1887	1	Self-Portrait with Straw Hat
283.jpg	1887	139	187	2_Paris	1887	1	Skull
284.jpg	1887	156	125	2_Paris	1887	1	Skull
285.jpg	1887	119	107	2_Paris	1887	1	Still Life with Quince Pears
286.jpg	1887.0834	140	88	2_Paris	1887	2	Agostina Segatori Sitting in the Cafe du Tambourin
287.jpg	1887.0834	190	44	2_Paris	1887	2	Boulevard de Clichy
288.jpg	1887.0834	192	136	2_Paris	1887	2	Nude Woman Reclining
289.jpg	1887.0834	163	89	2_Paris	1887	2	Nude Woman Reclining Seen from the Back
290.jpg	1887.0834	70	116	2_Paris	1887	2	Pair of Shoes A
291.jpg	1887.0834	102	71	2_Paris	1887	2	Self-Portrait with Pipe and Glass
292.jpg	1887.0834	141	49	2_Paris	1887	2	Street Scene in Montmartre: Le Moulin a Poivre
293.jpg	1887.0834	211	23	2_Paris	1887	2	Vegetable Garden in Montmartre
294.jpg	1887.1668	167	73	2_Paris	1887	3	Factories Seen from a Hillside in Moonlight
295.jpg	1887.1668	149	135	2_Paris	1887	3	Flowerpot with Chives
296.jpg	1887.1668	190	142	2_Paris	1887	3	Le Moulin de la Galette
297.jpg	1887.1668	107	61	2_Paris	1887	3	Self-Portrait with Grey Felt Hat
298.jpg	1887.1668	75	125	2_Paris	1887	3	Self-Portrait with Straw Hat
299.jpg	1887.1668	129	135	2_Paris	1887	3	Still Life with a Basket of Crocuses
300.jpg	1887.1668	173	117	2_Paris	1887	3	Still Life with Lemons on a Plate
301.jpg	1887.2502	162	47	2_Paris	1887	4	Banks of the Seine with Boats The
302.jpg	1887.2502	132	102	2_Paris	1887	4	Edge of a Wheatfield with Poppies
303.jpg	1887.2502	104	106	2_Paris	1887	4	Entrance of Voyer d'Argenson Park at AsniËres
304.jpg	1887.2502	115	172	2_Paris	1887	4	Fritillaries in a Copper Vase
305.jpg	1887.2502	200	66	2_Paris	1887	4	Lane in Voyer d'Argenson Park at Asnieres
306.jpg	1887.2502	215	43	2_Paris	1887	4	On the Outskirts of Paris
307.jpg	1887.2502	40	86	2_Paris	1887	4	Pair of Shoes A
308.jpg	1887.2502	123	122	2_Paris	1887	4	Park at Asnieres in Spring (on loan from a private collection)
309.jpg	1887.2502	145	76	2_Paris	1887	4	Pasture in Bloom
310.jpg	1887.2502	168	171	2_Paris	1887	4	Portrait of the Art Dealer Alexander Reid
311.jpg	1887.2502	201	57	2_Paris	1887	4	Restaurant de la SirËne at AsniËres The
312.jpg	1887.2502	182	150	2_Paris	1887	4	Roadway with Underpass (The Viaduct)
313.jpg	1887.2502	94	57	2_Paris	1887	4	Seine with a Rowing Boat The
314.jpg	1887.2502	127	121	2_Paris	1887	4	Self-Portrait
315.jpg	1887.2502	197	49	2_Paris	1887	4	Still Life with Absinthe
316.jpg	1887.2502	151	186	2_Paris	1887	4	Still Life with Bloaters and Garlic
317.jpg	1887.2502	153	103	2_Paris	1887	4	Still Life with Decanter and Lemons on a Plate
318.jpg	1887.2502	179	43	2_Paris	1887	4	View of a River with Rowing Boats
319.jpg	1887.2502	172	46	2_Paris	1887	4	View of Paris from Vincent's Room in the Rue Lepic
320.jpg	1887.2502	210	15	2_Paris	1887	4	View of Paris from Vincent's Room in the Rue Lepic
321.jpg	1887.2502	112	121	2_Paris	1887	4	Woman Sitting by a Cradle
322.jpg	1887.2502	147	103	2_Paris	1887	4	Woman Sitting in the Grass
323.jpg	1887.3336	131	93	2_Paris	1887	5	Banks of the Seine The
324.jpg	1887.3336	95	112	2_Paris	1887	5	Chestnut Tree in Blossom
325.jpg	1887.3336	112	45	2_Paris	1887	5	Self-Portrait
326.jpg	1887.3336	134	128	2_Paris	1887	5	Self-Portrait
327.jpg	1887.417	162	94	2_Paris	1887	6	Banks of the Seine with Pont de Clichy in the Spring
328.jpg	1887.417	186	70	2_Paris	1887	6	Couples in the Voyer d'Argenson Park at Asnieres
329.jpg	1887.417	104	115	2_Paris	1887	6	Garden with Sunflowers
330.jpg	1887.417	198	95	2_Paris	1887	6	Interior of a Restaurant
331.jpg	1887.417	76	93	2_Paris	1887	6	Lane in Voyer d'Argenson Park at Asnieres
332.jpg	1887.417	210	54	2_Paris	1887	6	Montmartre Path with Sunflowers
333.jpg	1887.417	168	111	2_Paris	1887	6	Outskirts of Paris: Road with Peasant Shouldering a Spade
334.jpg	1887.417	112	126	2_Paris	1887	6	Path in the Woods
335.jpg	1887.417	169	94	2_Paris	1887	6	Vegetable Gardens in Montmartre: La Butte Montmartre
336.jpg	1887.417	177	86	2_Paris	1887	6	Walk Along the Banks of the Seine Near Asnieres
337.jpg	1887.417	131	103	2_Paris	1887	6	Woman Walking in a Garden A
338.jpg	1887.5004	91	81	2_Paris	1887	7	Avenue in Voyer d'Argenson Park at Asnieres
339.jpg	1887.5004	174	74	2_Paris	1887	7	Banks of the Seine with the Pont de Clichy
340.jpg	1887.5004	160	32	2_Paris	1887	7	Bathing Float on the Seine at Asnieres
341.jpg	1887.5004	152	54	2_Paris	1887	7	Bridges across the Seine at Asnieres
342.jpg	1887.5004	132	127	2_Paris	1887	7	Corner of Voyer d'Argenson Park at Asnieres
343.jpg	1887.5004	221	105	2_Paris	1887	7	Exterior of a Restaurant at Asnieres
344.jpg	1887.5004	226	97	2_Paris	1887	7	Factories at Asnieres Seen from the Quai de Clichy
345.jpg	1887.5004	151	92	2_Paris	1887	7	Factory at Asnieres The
346.jpg	1887.5004	168	81	2_Paris	1887	7	House with Sunflowers
347.jpg	1887.5004	146	180	2_Paris	1887	7	Lilacs
348.jpg	1887.5004	170	75	2_Paris	1887	7	Restaurant de la SirËne at AsniËres
349.jpg	1887.5004	221	55	2_Paris	1887	7	Rispal Restaurant at AsniËres The
350.jpg	1887.5004	178	60	2_Paris	1887	7	Seine Bridge at Asnieres The
351.jpg	1887.5004	226	42	2_Paris	1887	7	Seine with the Pont de Clichy The
352.jpg	1887.5004	140	38	2_Paris	1887	7	Seine with the Pont de la Grande Jette The
353.jpg	1887.5004	25	112	2_Paris	1887	7	Self-Portrait
354.jpg	1887.5004	44	68	2_Paris	1887	7	Self-Portrait
355.jpg	1887.5004	79	102	2_Paris	1887	7	Self-Portrait
356.jpg	1887.5004	64	92	2_Paris	1887	7	Self-Portrait
357.jpg	1887.5004	97	139	2_Paris	1887	7	Self-Portrait with Straw Hat
358.jpg	1887.5004	189	134	2_Paris	1887	7	Self-Portrait with Straw Hat
359.jpg	1887.5004	166	132	2_Paris	1887	7	Self-Portrait with Straw Hat
360.jpg	1887.5004	73	114	2_Paris	1887	7	Self-Portrait with Straw Hat and Pipe
361.jpg	1887.5004	53	120	2_Paris	1887	7	Trees and Undergrowth
362.jpg	1887.5004	56	142	2_Paris	1887	7	Trees and Undergrowth
363.jpg	1887.5004	194	93	2_Paris	1887	7	Trees in a Field on a Sunny Day
364.jpg	1887.5004	58	91	2_Paris	1887	7	Undergrowth
365.jpg	1887.5004	135	112	2_Paris	1887	7	Undergrowth
366.jpg	1887.5004	75	110	2_Paris	1887	7	Vase with Cornflowers and Poppies
367.jpg	1887.5004	122	124	2_Paris	1887	7	Vase with Daisies and Anemones
368.jpg	1887.5004	106	121	2_Paris	1887	7	Vase with Lilacs Daisies and Anemones
369.jpg	1887.5004	218	43	2_Paris	1887	7	Vegetable Gardens at Montmartre
370.jpg	1887.5004	203	42	2_Paris	1887	7	Wheat Field with a Lark
371.jpg	1887.5838	95	110	2_Paris	1887	8	Four Cut Sunflowers
372.jpg	1887.5838	113	83	2_Paris	1887	8	Japonaiserie: Bridge in the Rain (after Hiroshige)
373.jpg	1887.5838	123	128	2_Paris	1887	8	Japonaiserie: Flowering Plum Tree (after Hiroshige)
374.jpg	1887.5838	131	151	2_Paris	1887	8	Japonaiserie: Oiran (after Kesai Eisen)
375.jpg	1887.5838	71	122	2_Paris	1887	8	Two Cut Sunflowers
376.jpg	1887.5838	170	153	2_Paris	1887	8	Two Cut Sunflowers
377.jpg	1887.5838	124	125	2_Paris	1887	8	Two Cut Sunflowers
378.jpg	1887.7506	53	181	2_Paris	1887	10	Chrysanthemums and Wild Flowers in a Vase
379.jpg	1887.7506	115	90	2_Paris	1887	10	Portrait of Pere Tanguy
380.jpg	1887.7506	105	71	2_Paris	1887	10	Self-Portrait
381.jpg	1887.7506	229	62	2_Paris	1887	10	Still Life with Basket of Apples (to Lucien Pissarro)
382.jpg	1887.7506	171	134	2_Paris	1887	10	Still Life with French Novels and a Rose
383.jpg	1887.7506	135	171	2_Paris	1887	10	Still Life with Grapes
384.jpg	1887.7506	146	36	2_Paris	1887	10	Still Life with Grapes Pears and Lemons
385.jpg	1887.7506	201	49	2_Paris	1887	10	Still Life with Red Cabbages and Onions
386.jpg	1887.834	98	90	2_Paris	1887	11	Still Life with Apples
387.jpg	1887.834	221	136	2_Paris	1887	11	Still Life with Basket of Apples
388.jpg	1887.9174	123	74	2_Paris	1887	12	Self-Portrait with a Japanese Print
389.jpg	1887.9174	150	97	2_Paris	1887	12	Still Life with Plaster Statuette a Rose and Two Novels
390.jpg	1887.9174	192	204	2_Paris	1887	12	Italian Woman (Agostina Segatori?)
391.jpg	1888.0834	170	64	2_Paris	1888	2	Landscape with Snow
392.jpg	1888.0834	174	64	2_Paris	1888	2	Old Woman of Arles An
393.jpg	1888.0834	169	138	2_Paris	1888	2	Pork-Butcher's Shop Seen from a Window A
394.jpg	1888.0834	153	103	2_Paris	1888	2	Self-Portrait in Front of the Easel
395.jpg	1888.0834	210	39	2_Paris	1888	2	Snowy Landscape with Arles in the Background
